Drug_1,Drug_2,Similarity,Relation
doxazosin,terazosin,0.6509433962264151,0
nafcillin,ampicillin,0.5425531914893617,0
nafcillin,oxacillin,0.6020408163265306,0
nafcillin,cloxacillin,0.5742574257425742,0
chloroquine,hydroxychloroquine,0.8142857142857143,0
rifabutin,rifapentine,0.5601851851851852,0
rifabutin,rifaximin,0.5792079207920792,0
rifabutin,rifampin,0.6787564766839378,0
oxandrolone,oxymetholone,0.6933333333333334,0
oxandrolone,methyltestosterone,0.5443037974683544,0
nicardipine,nifedipine,0.5045871559633027,0
fluphenazine,trifluoperazine,0.8043478260869565,0
fluphenazine,perphenazine,0.7934782608695652,0
testosterone,hydrocortisone,0.5116279069767442,0
testosterone,methyltestosterone,0.6666666666666666,0
testosterone,nandrolone decanoate,0.589041095890411,0
prednisone,hydrocortisone,0.5106382978723404,0
prednisone,prednisolone,0.7108433734939759,0
prednisone,methylprednisolone,0.5483870967741935,0
prednisone,cortisone acetate,0.5463917525773195,0
adenosine,azacitidine,0.5714285714285714,0
adenosine,nelarabine,0.6086956521739131,0
adenosine,fludarabine,0.5128205128205128,0
adenosine,regadenoson,0.5232558139534884,0
mebendazole,nocodazole,0.684931506849315,0
trazodone,nefazodone,0.6226415094339622,0
epinephrine,norepinephrine,0.675,0
epinephrine,isoproterenol,0.7045454545454546,0
sumatriptan,almotriptan,0.6438356164383562,0
sumatriptan,rizatriptan,0.547945205479452,0
chlorpropamide,tolbutamide,0.6666666666666666,0
tamoxifen,clomiphene,0.71875,0
losartan,irbesartan,0.5877192982456141,0
losartan,tasosartan,0.5128205128205128,0
losartan,candesartan,0.5508474576271186,0
losartan,olmesartan,0.6363636363636364,0
losartan,erythropoietin,0.7676767676767676,0
midazolam,flurazepam,0.5434782608695652,0
midazolam,triazolam,0.6097560975609756,0
midazolam,quazepam,0.5697674418604651,0
fludrocortisone,hydrocortisone,0.6551724137931034,0
fludrocortisone,prednisolone,0.5157894736842106,0
flurazepam,quazepam,0.5591397849462365,0
daunorubicin,doxorubicin,0.8828828828828829,0
daunorubicin,idarubicin,0.7946428571428571,0
nitrofurantoin,dantrolene,0.6,0
naltrexone,naloxone,0.759493670886076,0
naltrexone,oxymorphone,0.7272727272727273,0
naltrexone,nalbuphine,0.6666666666666666,0
naltrexone,methylnaltrexone bromide,0.6666666666666666,0
sufentanil,alfentanil,0.5980392156862745,0
lamivudine,emtricitabine,0.6226415094339622,0
risperidone,paliperidone,0.7777777777777778,0
meclizine,cetirizine,0.5841584158415841,0
meclizine,chlorcyclizine,0.6436781609195402,0
meclizine,levocetirizine dihydrochloride,0.5841584158415841,0
hydrocortisone,prednisolone,0.6904761904761905,0
hydrocortisone,methylprednisolone,0.5483870967741935,0
hydrocortisone,cortisone acetate,0.5625,0
hydrocortisone,methyltestosterone,0.5348837209302325,0
mannitol,sorbitol,1.0,0
scopolamine,atropine,0.618421052631579,0
tetracycline,oxytetracycline,0.6037735849056604,0
tetracycline,minocycline,0.6285714285714286,0
mometasone,beclomethasone,0.875,0
estradiol,estramustine,0.5795454545454546,0
primidone,phenobarbital,0.6428571428571429,0
biperiden,trihexyphenidyl,0.5833333333333334,0
biperiden,procyclidine,0.6049382716049383,0
ribavirin,azacitidine,0.5333333333333333,0
meloxicam,isoxicam,0.68,0
diazepam,oxazepam,0.5405405405405406,0
diazepam,estazolam,0.6527777777777778,0
diazepam,clorazepate,0.5063291139240507,0
trifluoperazine,perphenazine,0.6224489795918368,0
cefaclor,ampicillin,0.5595238095238095,0
cefaclor,loracarbef,0.7368421052631579,0
cefaclor,cephalexin,0.8333333333333334,0
cefaclor,cefadroxil,0.6144578313253012,0
cefaclor,cefprozil,0.5730337078651685,0
cefaclor,cephradine,0.5172413793103449,0
loperamide,diphenoxylate,0.5076923076923077,0
oxazepam,clorazepate,0.7761194029850746,0
pseudoephedrine,ephedrine,1.0,0
prednisolone,methylprednisolone,0.7349397590361446,0
prednisolone,budesonide,0.6020408163265306,0
prednisolone,beclomethasone,0.5051546391752577,0
ranitidine,niperotidine,0.5824175824175825,0
benzphetamine,selegiline,0.5166666666666667,0
benzphetamine,phenoxybenzamine,0.547945205479452,0
terbutaline,salbutamol,0.5535714285714286,0
terbutaline,orciprenaline,0.64,0
sirolimus,everolimus,0.900523560209424,0
sirolimus,temsirolimus,0.8472906403940886,0
quinapril,enalapril,0.6666666666666666,0
quinapril,moexipril,0.6964285714285714,0
triazolam,estazolam,0.5238095238095238,0
tinidazole,metronidazole,0.574468085106383,0
amantadine,rimantadine,0.6046511627906976,0
cyclobenzaprine,doxepin,0.6266666666666667,0
azacitidine,cytarabine,0.6727272727272727,0
azacitidine,decitabine,0.6071428571428571,0
azacitidine,nelarabine,0.5757575757575758,0
isoniazid,iproniazid,0.5609756097560976,0
methylprednisolone,budesonide,0.5142857142857142,0
methyldopa,carbidopa,0.723404255319149,0
methyldopa,metyrosine,0.5833333333333334,0
lomefloxacin,norfloxacin,0.5172413793103449,0
dopamine,norepinephrine,0.5121951219512195,0
doxorubicin,idarubicin,0.7142857142857143,0
ketoprofen,fenoprofen,0.625,0
felodipine,nifedipine,0.5581395348837209,0
felodipine,clevidipine,0.7619047619047619,0
ketoconazole,itraconazole,0.5375,0
irbesartan,tasosartan,0.5333333333333333,0
irbesartan,olmesartan,0.5203252032520326,0
selegiline,dextroamphetamine,0.5227272727272727,0
selegiline,methamphetamine,0.5217391304347826,0
selegiline,pargyline,0.6222222222222222,0
fenofibrate,bezafibrate,0.5393258426966292,0
thalidomide,lenalidomide,0.5362318840579711,0
ibuprofen,ibufenac,0.5918367346938775,0
amoxicillin,ampicillin,0.7368421052631579,0
amoxicillin,cefadroxil,0.5882352941176471,0
amoxicillin,cefprozil,0.5494505494505495,0
oxybutynin,oxyphenonium,0.6363636363636364,0
glipizide,glibenclamide,0.6605504587155964,0
promethazine,mepazine,0.5443037974683544,0
diphenhydramine,orphenadrine,0.7230769230769231,0
miconazole,econazole,0.7283950617283951,0
miconazole,sulconazole nitrate,0.5257731958762887,0
chlorpheniramine,dexchlorpheniramine,1.0,0
chlorpheniramine,carbinoxamine,0.734375,0
chlorpheniramine,dexbrompheniramine,0.8,0
chlorpheniramine,brompheniramine,0.8,0
amiodarone,benziodarone,0.5416666666666666,0
dutasteride,finasteride,0.5625,0
econazole,butoconazole,0.5666666666666667,0
econazole,sulconazole nitrate,0.6781609195402298,0
rabeprazole,dexlansoprazole,0.6904761904761905,0
levofloxacin,ofloxacin,1.0,0
micafungin,anidulafungin,0.7116788321167883,0
desipramine,clomipramine,0.5641025641025641,0
itraconazole,posaconazole,0.6705202312138728,0
kanamycin,amikacin,0.7410714285714286,0
kanamycin,neomycin,0.6209677419354839,0
kanamycin,paromomycin,0.6341463414634146,0
kanamycin,lactose,0.5050505050505051,0
naloxone,oxymorphone,0.7567567567567568,0
naloxone,nalbuphine,0.5106382978723404,0
naloxone,methylnaltrexone bromide,0.5604395604395604,0
oxymorphone,methylnaltrexone bromide,0.6,0
rifapentine,rifaximin,0.63,0
rifapentine,rifampin,0.6225490196078431,0
ceftriaxone,cefotaxime,0.6454545454545455,0
ceftriaxone,cefdinir,0.504424778761062,0
ceftriaxone,cefixime,0.5210084033613446,0
ceftriaxone,ceftizoxime,0.5412844036697247,0
ceftriaxone,cefepime,0.5284552845528455,0
ceftriaxone,cefpodoxime,0.660377358490566,0
ceftriaxone,cefditoren,0.5655737704918032,0
rifaximin,rifampin,0.6051282051282051,0
enoxaparin,dalteparin sodium,1.0,0
mivacurium,atracurium,0.7112068965517241,0
mivacurium,cisatracurium besylate,0.5880281690140845,0
paclitaxel,docetaxel,0.7263157894736842,0
exenatide,corticotropin,0.6402321083172147,0
exenatide,cosyntropin,0.5198675496688742,0
exenatide,pramlintide,0.6822633297062024,0
exenatide,teriparatide,0.6527632950990615,0
exenatide,corticorelin ovine triflutate,0.6561576354679803,0
exenatide,secretin,0.586405529953917,0
nelarabine,fludarabine,0.5375,0
nelarabine,regadenoson,0.5280898876404494,0
corticotropin,pramlintide,0.5872093023255814,0
corticotropin,teriparatide,0.677,0
corticotropin,corticorelin ovine triflutate,0.9064516129032258,0
corticotropin,secretin,0.5577942735949099,0
pancuronium,vecuronium,0.7769230769230769,0
tasosartan,olmesartan,0.512396694214876,0
cortisone acetate,methyltestosterone,0.5053763440860215,0
dextroamphetamine,methamphetamine,0.6388888888888888,0
everolimus,temsirolimus,0.8731707317073171,0
oxymetholone,methyltestosterone,0.5301204819277109,0
nandrolone decanoate,norethindrone acetate,0.5487804878048781,0
benzbromarone,benziodarone,0.6944444444444444,0
dexchlorpheniramine,carbinoxamine,0.734375,0
dexchlorpheniramine,dexbrompheniramine,0.8,0
dexchlorpheniramine,brompheniramine,0.8,0
candesartan,olmesartan,0.5882352941176471,0
piperacillin,ampicillin,0.5673076923076923,0
piperacillin,azlocillin,0.7383177570093458,0
cetirizine,chlorcyclizine,0.6547619047619048,0
cetirizine,levocetirizine dihydrochloride,1.0,0
norepinephrine,isoproterenol,0.6,0
ampicillin,loracarbef,0.5057471264367817,0
ampicillin,cephalexin,0.5783132530120482,0
ampicillin,oxacillin,0.5955056179775281,0
ampicillin,cloxacillin,0.5319148936170213,0
ampicillin,azlocillin,0.6276595744680851,0
ceftazidime,cefotaxime,0.559322033898305,0
ceftazidime,cefixime,0.5081967213114754,0
ceftazidime,cefepime,0.528,0
ceftazidime,cefpodoxime,0.5431034482758621,0
loracarbef,cephalexin,0.65,0
prazosin,terazosin,0.6494845360824743,0
cefotaxime,cefdinir,0.59375,0
cefotaxime,cefixime,0.64,0
cefotaxime,cefuroxime,0.62,0
cefotaxime,ceftizoxime,0.6413043478260869,0
cefotaxime,cefepime,0.6132075471698113,0
cefotaxime,cefpodoxime,0.8488372093023255,0
cefotaxime,cefditoren,0.6111111111111112,0
cefdinir,cefixime,0.7790697674418605,0
cefdinir,ceftizoxime,0.5730337078651685,0
cefdinir,ceftibuten,0.5104166666666666,0
cefdinir,cefpodoxime,0.6263736263736264,0
cefdinir,cefditoren,0.5980392156862745,0
cephalexin,cefadroxil,0.7402597402597403,0
cephalexin,cefprozil,0.5909090909090909,0
cephalexin,cephradine,0.6296296296296297,0
atropine,benztropine,0.5238095238095238,0
enalapril,moexipril,0.6055045871559633,0
enalapril,lisinopril,0.6082474226804123,0
oxytetracycline,demeclocycline,0.5740740740740741,0
nystatin,amphotericin b,0.7053140096618358,0
stavudine,telbivudine,0.5254237288135594,0
cefixime,ceftizoxime,0.5567010309278351,0
cefixime,ceftibuten,0.5445544554455446,0
cefixime,cefpodoxime,0.6224489795918368,0
cefixime,cefditoren,0.5818181818181818,0
oxacillin,cloxacillin,0.7931034482758621,0
rocuronium,vecuronium,0.5633802816901409,0
chlorothiazide,hydrochlorothiazide,0.5789473684210527,0
minocycline,tigecycline,0.5271317829457365,0
cefuroxime,cefpodoxime,0.57,0
cefadroxil,cefprozil,0.7974683544303798,0
cefadroxil,cephradine,0.6144578313253012,0
ceftizoxime,cefepime,0.5490196078431373,0
ceftizoxime,ceftibuten,0.6627906976744186,0
ceftizoxime,cefpodoxime,0.6781609195402298,0
ceftizoxime,cefditoren,0.594059405940594,0
cefepime,cefpodoxime,0.6435643564356436,0
cefepime,cefditoren,0.5210084033613446,0
trihexyphenidyl,procyclidine,0.9538461538461539,0
carbinoxamine,dexbrompheniramine,0.5857142857142857,0
carbinoxamine,brompheniramine,0.5857142857142857,0
chlorcyclizine,levocetirizine dihydrochloride,0.6547619047619048,0
alendronate,pamidronate,0.8055555555555556,0
alendronate,ibandronate,0.5185185185185185,0
amikacin,neomycin,0.5277777777777778,0
amikacin,paromomycin,0.5384615384615384,0
aspirin,salsalate,0.5172413793103449,0
ergonovine,methylergonovine,0.8289473684210527,0
glycopyrrolate,oxyphenonium,0.5168539325842697,0
glycopyrrolate,mepenzolate,0.5111111111111111,0
guaifenesin,methocarbamol,0.6538461538461539,0
isoproterenol,orciprenaline,0.6,0
lactulose,lactose,0.6266666666666667,0
neomycin,paromomycin,0.9152542372881356,0
pamidronate,etidronic acid,0.5135135135135135,0
protirelin,thyrotropin alfa,1.0,0
atracurium,cisatracurium besylate,0.7777777777777778,0
butoconazole,sulconazole nitrate,0.5360824742268041,0
cefpodoxime,cefditoren,0.6407766990291263,0
leuprolide,ganirelix acetate,0.5040650406504065,0
leuprolide,triptorelin pamoate,0.8049645390070922,0
dexbrompheniramine,brompheniramine,1.0,0
anileridine,diphenoxylate,0.5535714285714286,0
pramlintide,teriparatide,0.602308499475341,0
pramlintide,corticorelin ovine triflutate,0.6165338645418327,0
pramlintide,secretin,0.5554245283018868,0
teriparatide,corticorelin ovine triflutate,0.6907426246185148,0
teriparatide,secretin,0.6014150943396226,0
corticorelin ovine triflutate,secretin,0.5584137191854234,0
sulfabenzamide,sulfacarbamide,0.5517241379310345,0
