,source,target,edge
254,lidocaine,P10632,has_enzyme
255,lidocaine,P11509,has_enzyme
256,lidocaine,P20813,has_enzyme
257,clemastine,P10635,has_enzyme
258,venlafaxine,P10635,has_enzyme
259,venlafaxine,P08684,has_enzyme
260,venlafaxine,P11712,has_enzyme
261,venlafaxine,P33261,has_enzyme
262,atomoxetine,P33261,has_enzyme
263,atomoxetine,P10635,has_enzyme
264,bleomycin,Q13867,has_enzyme
265,chlorambucil,P09211,has_enzyme
266,chlorambucil,P08263,has_enzyme
267,chlorambucil,P09210,has_enzyme
268,chlorambucil,P09488,has_enzyme
269,chlorambucil,P28161,has_enzyme
270,chlorambucil,P21266,has_enzyme
271,chlorambucil,Q03013,has_enzyme
272,chlorambucil,P46439,has_enzyme
273,chlorambucil,P09211,has_enzyme
274,chlorambucil,P30711,has_enzyme
275,chlorambucil,P0CG29,has_enzyme
276,chlorambucil,P0CG30,has_enzyme
277,chlorambucil,O60760,has_enzyme
278,etomidate,P15538,has_enzyme
279,etomidate,P19099,has_enzyme
280,morphine,P10632,has_enzyme
281,morphine,P08684,has_enzyme
282,morphine,P16662,has_enzyme
283,morphine,P22309,has_enzyme
284,morphine,Q9HAW9,has_enzyme
285,morphine,P54855,has_enzyme
286,morphine,P06133,has_enzyme
287,morphine,P35503,has_enzyme
288,mitomycin,P16435,has_enzyme
289,bexarotene,P10632,has_enzyme
290,bexarotene,P08684,has_enzyme
291,valproic acid,P11509,has_enzyme
292,valproic acid,P20813,has_enzyme
293,valproic acid,P11712,has_enzyme
294,valproic acid,P20815,has_enzyme
295,valproic acid,P23219,has_enzyme
296,valproic acid,P05177,has_enzyme
297,valproic acid,P33261,has_enzyme
298,valproic acid,P08684,has_enzyme
299,valproic acid,P22310,has_enzyme
300,valproic acid,Q9HAW9,has_enzyme
301,valproic acid,Q9HAW8,has_enzyme
302,valproic acid,P19224,has_enzyme
303,valproic acid,P35503,has_enzyme
304,valproic acid,P16662,has_enzyme
305,valproic acid,P54855,has_enzyme
306,valproic acid,O60656,has_enzyme
307,valproic acid,P22309,has_enzyme
308,zolmitriptan,P05177,has_enzyme
309,zolmitriptan,P21397,has_enzyme
310,acetaminophen,P05181,has_enzyme
311,acetaminophen,P05177,has_enzyme
312,acetaminophen,P08684,has_enzyme
313,acetaminophen,P10635,has_enzyme
314,acetaminophen,P11509,has_enzyme
315,acetaminophen,P19224,has_enzyme
316,acetaminophen,P22309,has_enzyme
317,acetaminophen,O60656,has_enzyme
318,acetaminophen,P54855,has_enzyme
319,acetaminophen,P50225,has_enzyme
320,acetaminophen,P0DMM9,has_enzyme
321,acetaminophen,P11245,has_enzyme
322,acetaminophen,O00519,has_enzyme
323,acetaminophen,P09211,has_enzyme
324,acetaminophen,P09488,has_enzyme
325,gefitinib,P20815,has_enzyme
326,gefitinib,P04798,has_enzyme
327,gefitinib,P11712,has_enzyme
328,gefitinib,P33261,has_enzyme
329,gefitinib,P08684,has_enzyme
330,gefitinib,P10635,has_enzyme
331,codeine,P10635,has_enzyme
332,codeine,P08684,has_enzyme
333,codeine,P16662,has_enzyme
334,codeine,P06133,has_enzyme
335,dihydroergotamine,P08684,has_enzyme
336,amitriptyline,P10635,has_enzyme
337,amitriptyline,P05177,has_enzyme
338,amitriptyline,P33261,has_enzyme
339,amitriptyline,P11712,has_enzyme
340,amitriptyline,P08684,has_enzyme
341,amitriptyline,P20815,has_enzyme
342,amitriptyline,P20813,has_enzyme
343,amitriptyline,P10632,has_enzyme
344,amitriptyline,P36537,has_enzyme
345,amitriptyline,P22310,has_enzyme
346,amitriptyline,P08263,has_enzyme
347,amitriptyline,P09210,has_enzyme
348,amitriptyline,P09488,has_enzyme
349,amitriptyline,P28161,has_enzyme
350,amitriptyline,P21266,has_enzyme
351,amitriptyline,Q03013,has_enzyme
352,amitriptyline,P46439,has_enzyme
353,amitriptyline,P09211,has_enzyme
354,amitriptyline,P30711,has_enzyme
355,amitriptyline,P0CG29,has_enzyme
356,amitriptyline,P0CG30,has_enzyme
357,amitriptyline,O60760,has_enzyme
358,tolcapone,P11712,has_enzyme
359,nitroprusside,P04798,has_enzyme
360,hydromorphone,P35503,has_enzyme
361,hydromorphone,P16662,has_enzyme
362,hydromorphone,P11712,has_enzyme
363,indomethacin,P33261,has_enzyme
364,indomethacin,P11712,has_enzyme
365,indomethacin,P23141,has_enzyme
366,indomethacin,O60656,has_enzyme
367,indomethacin,P22309,has_enzyme
368,indomethacin,P16662,has_enzyme
369,ethambutol,P05177,has_enzyme
370,ethambutol,P05181,has_enzyme
371,ethambutol,P33261,has_enzyme
372,ethambutol,P10635,has_enzyme
373,ethambutol,P11509,has_enzyme
374,ethambutol,P11712,has_enzyme
375,ethambutol,P08684,has_enzyme
376,methadone,P08684,has_enzyme
377,methadone,P33261,has_enzyme
378,methadone,P24462,has_enzyme
379,methadone,P10635,has_enzyme
380,methadone,P20813,has_enzyme
381,methadone,P10632,has_enzyme
382,methadone,P11511,has_enzyme
383,methadone,P05177,has_enzyme
384,methadone,P33260,has_enzyme
385,methadone,P11712,has_enzyme
386,methadone,P08684,has_enzyme
387,methadone,Q9HB55,has_enzyme
388,methadone,P20815,has_enzyme
389,methadone,P24462,has_enzyme
390,methadone,P06133,has_enzyme
391,olanzapine,P05177,has_enzyme
392,olanzapine,P10635,has_enzyme
393,olanzapine,P31513,has_enzyme
394,olanzapine,P33261,has_enzyme
395,olanzapine,P11712,has_enzyme
396,olanzapine,P22310,has_enzyme
397,olanzapine,P08684,has_enzyme
398,olanzapine,P08684,has_enzyme
399,olanzapine,Q9HB55,has_enzyme
400,olanzapine,P20815,has_enzyme
401,olanzapine,P24462,has_enzyme
402,atenolol,P10635,has_enzyme
403,omeprazole,P04798,has_enzyme
404,omeprazole,P05177,has_enzyme
405,omeprazole,Q16678,has_enzyme
406,omeprazole,P10632,has_enzyme
407,omeprazole,P11712,has_enzyme
408,omeprazole,P33260,has_enzyme
409,omeprazole,P10635,has_enzyme
410,omeprazole,P08684,has_enzyme
411,omeprazole,P33261,has_enzyme
412,pyrazinamide,Q06278,has_enzyme
413,pyrazinamide,P47989,has_enzyme
414,terfenadine,P08684,has_enzyme
415,terfenadine,P24462,has_enzyme
416,terfenadine,P10635,has_enzyme
417,terfenadine,P20815,has_enzyme
418,terfenadine,P10632,has_enzyme
419,terfenadine,P51589,has_enzyme
420,diltiazem,P08684,has_enzyme
421,diltiazem,P20815,has_enzyme
422,diltiazem,P24462,has_enzyme
423,diltiazem,P33261,has_enzyme
424,diltiazem,P10635,has_enzyme
425,diltiazem,P10632,has_enzyme
426,alfuzosin,P08684,has_enzyme
427,minoxidil,P22309,has_enzyme
428,chlorzoxazone,P05181,has_enzyme
429,chlorzoxazone,P04798,has_enzyme
430,chlorzoxazone,P05177,has_enzyme
431,chlorzoxazone,P11509,has_enzyme
432,chlorzoxazone,P08684,has_enzyme
433,chlorzoxazone,P10635,has_enzyme
434,aminoglutethimide,P08684,has_enzyme
435,aminoglutethimide,P33261,has_enzyme
436,mefloquine,P11511,has_enzyme
437,mefloquine,P22303,has_enzyme
438,mefloquine,P06276,has_enzyme
439,mefloquine,P08684,has_enzyme
440,sulfadiazine,P10632,has_enzyme
441,sulfadiazine,P08684,has_enzyme
442,sulfadiazine,P11712,has_enzyme
443,vinorelbine,P10635,has_enzyme
444,vinorelbine,P08684,has_enzyme
445,clozapine,P05177,has_enzyme
446,clozapine,P10635,has_enzyme
447,clozapine,P11712,has_enzyme
448,clozapine,P08684,has_enzyme
449,clozapine,P33261,has_enzyme
450,clozapine,P11509,has_enzyme
451,clozapine,P10632,has_enzyme
452,clozapine,P31513,has_enzyme
453,clozapine,P22310,has_enzyme
454,clozapine,P04798,has_enzyme
455,doxylamine,Q14097,has_enzyme
456,levonorgestrel,P20815,has_enzyme
457,levonorgestrel,P08684,has_enzyme
458,cidofovir,P19971,has_enzyme
459,mirtazapine,P08684,has_enzyme
460,mirtazapine,P10635,has_enzyme
461,mirtazapine,P05177,has_enzyme
462,timolol,P33261,has_enzyme
463,timolol,P10635,has_enzyme
464,palonosetron,P10635,has_enzyme
465,palonosetron,P08684,has_enzyme
466,palonosetron,P05177,has_enzyme
467,mexiletine,P20813,has_enzyme
468,mexiletine,P05181,has_enzyme
469,mexiletine,P08684,has_enzyme
470,mexiletine,P05177,has_enzyme
471,mexiletine,P10635,has_enzyme
472,amlodipine,P08684,has_enzyme
473,amlodipine,P04798,has_enzyme
474,amlodipine,P20813,has_enzyme
475,amlodipine,P20815,has_enzyme
476,amlodipine,P10632,has_enzyme
477,amlodipine,P10635,has_enzyme
478,triamterene,P05177,has_enzyme
479,digoxin,P05108,has_enzyme
480,nimodipine,P08684,has_enzyme
481,carisoprodol,P33261,has_enzyme
482,progesterone,P05093,has_enzyme
483,progesterone,P04798,has_enzyme
484,progesterone,Q16678,has_enzyme
485,progesterone,P11509,has_enzyme
486,progesterone,P10635,has_enzyme
487,progesterone,P33261,has_enzyme
488,progesterone,P11712,has_enzyme
489,progesterone,P20815,has_enzyme
490,progesterone,P08684,has_enzyme
491,progesterone,P24462,has_enzyme
492,sorafenib,P11712,has_enzyme
493,sorafenib,P20815,has_enzyme
494,sorafenib,P24462,has_enzyme
495,sorafenib,P08684,has_enzyme
496,sorafenib,P20813,has_enzyme
497,sorafenib,P10632,has_enzyme
498,sorafenib,P05177,has_enzyme
499,sorafenib,P33261,has_enzyme
500,sorafenib,P10635,has_enzyme
501,sorafenib,O60656,has_enzyme
502,sorafenib,P22309,has_enzyme
503,griseofulvin,P05177,has_enzyme
504,griseofulvin,P08684,has_enzyme
505,nisoldipine,P08684,has_enzyme
506,nisoldipine,P20815,has_enzyme
507,nisoldipine,P24462,has_enzyme
508,eszopiclone,P08684,has_enzyme
509,eszopiclone,P10632,has_enzyme
510,alprazolam,P24462,has_enzyme
511,alprazolam,P08684,has_enzyme
512,alprazolam,P11712,has_enzyme
513,alprazolam,P20815,has_enzyme
514,rosiglitazone,P23219,has_enzyme
515,rosiglitazone,P05177,has_enzyme
516,rosiglitazone,P10635,has_enzyme
517,rosiglitazone,P08684,has_enzyme
518,rosiglitazone,P20813,has_enzyme
519,rosiglitazone,P05181,has_enzyme
520,rosiglitazone,P10632,has_enzyme
521,rosiglitazone,P11712,has_enzyme
522,secobarbital,P05177,has_enzyme
523,secobarbital,P33261,has_enzyme
524,secobarbital,P10632,has_enzyme
525,secobarbital,P11712,has_enzyme
526,spironolactone,P15538,has_enzyme
527,spironolactone,P10632,has_enzyme
528,methylphenidate,Q6LAP9,has_enzyme
529,zolpidem,P11712,has_enzyme
530,zolpidem,P33261,has_enzyme
531,zolpidem,P10635,has_enzyme
532,zolpidem,P08684,has_enzyme
533,zolpidem,P05177,has_enzyme
534,famciclovir,Q06278,has_enzyme
535,prochlorperazine,P10635,has_enzyme
536,cyproheptadine,P35503,has_enzyme
537,cyproheptadine,P22310,has_enzyme
538,cyproheptadine,P36537,has_enzyme
539,bendroflumethiazide,P51580,has_enzyme
540,allopurinol,Q06278,has_enzyme
541,allopurinol,P47989,has_enzyme
542,trimethoprim,P11712,has_enzyme
543,trimethoprim,P08684,has_enzyme
544,trimethoprim,P05177,has_enzyme
545,trimethoprim,P10632,has_enzyme
546,gemcitabine,O00142,has_enzyme
547,gemcitabine,P30085,has_enzyme
548,gemcitabine,P15531,has_enzyme
549,gemcitabine,P32320,has_enzyme
550,gemcitabine,P27707,has_enzyme
551,teniposide,P20815,has_enzyme
552,teniposide,P33261,has_enzyme
553,teniposide,P11712,has_enzyme
554,teniposide,P08684,has_enzyme
555,epirubicin,P16662,has_enzyme
556,epirubicin,P47712,has_enzyme
557,chloramphenicol,P00484,has_enzyme
558,chloramphenicol,P26841,has_enzyme
559,chloramphenicol,Q56148,has_enzyme
560,chloramphenicol,P33261,has_enzyme
561,chloramphenicol,P08684,has_enzyme
562,chloramphenicol,P20815,has_enzyme
563,chloramphenicol,P24462,has_enzyme
564,lansoprazole,P04798,has_enzyme
565,lansoprazole,Q16678,has_enzyme
566,lansoprazole,P10632,has_enzyme
567,lansoprazole,P11712,has_enzyme
568,lansoprazole,P33260,has_enzyme
569,lansoprazole,P10635,has_enzyme
570,lansoprazole,P08684,has_enzyme
571,lansoprazole,P33261,has_enzyme
572,levothyroxine,P22309,has_enzyme
573,levothyroxine,P08183,has_enzyme
574,levothyroxine,P10632,has_enzyme
575,meperidine,P08684,has_enzyme
576,meperidine,P33261,has_enzyme
577,meperidine,P20813,has_enzyme
578,meperidine,P10635,has_enzyme
579,meperidine,P05177,has_enzyme
580,loratadine,P08684,has_enzyme
581,loratadine,P10635,has_enzyme
582,loratadine,P04798,has_enzyme
583,loratadine,P33261,has_enzyme
584,loratadine,P10632,has_enzyme
585,loratadine,P05177,has_enzyme
586,loratadine,P20813,has_enzyme
587,loratadine,P11712,has_enzyme
588,loratadine,P20815,has_enzyme
589,loratadine,P36537,has_enzyme
590,loratadine,P22309,has_enzyme
591,loratadine,P35503,has_enzyme
592,loratadine,P54855,has_enzyme
593,imipramine,P33261,has_enzyme
594,imipramine,P10635,has_enzyme
595,imipramine,P05177,has_enzyme
596,imipramine,P08684,has_enzyme
597,imipramine,P24462,has_enzyme
598,imipramine,P20813,has_enzyme
599,imipramine,P33260,has_enzyme
600,imipramine,P05181,has_enzyme
601,nabumetone,P05164,has_enzyme
602,nabumetone,P05177,has_enzyme
603,nabumetone,P11712,has_enzyme
604,nabumetone,P28845,has_enzyme
605,nabumetone,Q04828,has_enzyme
606,nabumetone,P52895,has_enzyme
607,nabumetone,P17516,has_enzyme
608,ketorolac,P16662,has_enzyme
609,ketorolac,P10632,has_enzyme
610,ketorolac,P11712,has_enzyme
611,quinine,P08684,has_enzyme
612,quinine,P20815,has_enzyme
613,quinine,P04798,has_enzyme
614,quinine,P10635,has_enzyme
615,quinine,P05177,has_enzyme
616,quinine,P10632,has_enzyme
617,quinine,P11712,has_enzyme
618,quinine,P33261,has_enzyme
619,quinine,P05181,has_enzyme
620,quinine,P24462,has_enzyme
621,montelukast,P23219,has_enzyme
622,montelukast,P11509,has_enzyme
623,montelukast,P08684,has_enzyme
624,montelukast,P11712,has_enzyme
625,montelukast,P10632,has_enzyme
626,fluoxetine,P20813,has_enzyme
627,fluoxetine,P20815,has_enzyme
628,fluoxetine,P11712,has_enzyme
629,fluoxetine,P10635,has_enzyme
630,fluoxetine,Q14097,has_enzyme
631,fluoxetine,P05177,has_enzyme
632,fluoxetine,P08684,has_enzyme
633,fluoxetine,P33261,has_enzyme
634,chlordiazepoxide,P08684,has_enzyme
635,duloxetine,P10635,has_enzyme
636,duloxetine,P11712,has_enzyme
637,duloxetine,P08684,has_enzyme
638,duloxetine,P05177,has_enzyme
639,duloxetine,P20813,has_enzyme
640,duloxetine,P33261,has_enzyme
641,chlorpromazine,P10635,has_enzyme
642,chlorpromazine,P05177,has_enzyme
643,chlorpromazine,P05181,has_enzyme
644,chlorpromazine,P08684,has_enzyme
645,chlorpromazine,P06276,has_enzyme
646,raloxifene,P20813,has_enzyme
647,raloxifene,P10632,has_enzyme
648,raloxifene,Q06278,has_enzyme
649,raloxifene,P11511,has_enzyme
650,raloxifene,P08684,has_enzyme
651,raloxifene,P22309,has_enzyme
652,raloxifene,Q9HAW8,has_enzyme
653,raloxifene,Q9HAW9,has_enzyme
654,celecoxib,P08684,has_enzyme
655,celecoxib,P11712,has_enzyme
656,celecoxib,P10635,has_enzyme
657,celecoxib,P10632,has_enzyme
658,celecoxib,P35354,has_enzyme
659,dicloxacillin,P08684,has_enzyme
660,nabilone,P11712,has_enzyme
661,nabilone,P08684,has_enzyme
662,nabilone,P10632,has_enzyme
663,nabilone,P05181,has_enzyme
664,nabilone,P51589,has_enzyme
665,sotalol,P10635,has_enzyme
666,buspirone,P08684,has_enzyme
667,buspirone,P20815,has_enzyme
668,buspirone,P24462,has_enzyme
669,buspirone,P10635,has_enzyme
670,miglitol,P04746,has_enzyme
671,entacapone,P10635,has_enzyme
672,entacapone,P21964,has_enzyme
673,entacapone,O60656,has_enzyme
674,zidovudine,P11509,has_enzyme
675,zidovudine,P11712,has_enzyme
676,zidovudine,P08684,has_enzyme
677,zidovudine,P04183,has_enzyme
678,zidovudine,P16662,has_enzyme
679,zidovudine,P22309,has_enzyme
680,darifenacin,P08684,has_enzyme
681,darifenacin,P10635,has_enzyme
682,oxycodone,P10635,has_enzyme
683,oxycodone,P08684,has_enzyme
684,oxycodone,P20815,has_enzyme
685,flutamide,P04798,has_enzyme
686,flutamide,Q16678,has_enzyme
687,flutamide,P20815,has_enzyme
688,flutamide,P05177,has_enzyme
689,flutamide,P08684,has_enzyme
690,tolmetin,P48775,has_enzyme
691,tolmetin,P05164,has_enzyme
692,cimetidine,P15538,has_enzyme
693,cimetidine,P10632,has_enzyme
694,cimetidine,P11712,has_enzyme
695,cimetidine,P05181,has_enzyme
696,cimetidine,P31513,has_enzyme
697,cimetidine,Q01740,has_enzyme
698,cimetidine,P05177,has_enzyme
699,cimetidine,P10635,has_enzyme
700,cimetidine,P33261,has_enzyme
701,cimetidine,P08684,has_enzyme
702,cimetidine,P20815,has_enzyme
703,haloperidol,P16152,has_enzyme
704,haloperidol,O60656,has_enzyme
705,haloperidol,P33261,has_enzyme
706,haloperidol,P11712,has_enzyme
707,haloperidol,P04798,has_enzyme
708,haloperidol,P05177,has_enzyme
709,haloperidol,P10635,has_enzyme
710,haloperidol,P20815,has_enzyme
711,haloperidol,P08684,has_enzyme
712,haloperidol,P24462,has_enzyme
713,ritonavir,P08684,has_enzyme
714,ritonavir,P10635,has_enzyme
715,ritonavir,P11712,has_enzyme
716,ritonavir,P33261,has_enzyme
717,ritonavir,P20813,has_enzyme
718,ritonavir,P10632,has_enzyme
719,ritonavir,P05177,has_enzyme
720,ritonavir,P20815,has_enzyme
721,ritonavir,P24462,has_enzyme
722,ritonavir,P22309,has_enzyme
723,ritonavir,Q9HAW8,has_enzyme
724,ritonavir,P35503,has_enzyme
725,ritonavir,P22310,has_enzyme
